-----------city_black_unblurredBG_itr2000_lr0.08---------------
iter 0, dist  4.09e-07
iter 100, dist  0.104
iter 200, dist  0.122
iter 300, dist  0.134
iter 400, dist  0.147
iter 500, dist  0.157
iter 600, dist  0.165
iter 700, dist  0.172
iter 800, dist  0.176
iter 900, dist  0.179
iter 1000, dist  0.182
iter 1100, dist  0.185
iter 1200, dist  0.186
iter 1300, dist  0.189
iter 1400, dist  0.191
iter 1500, dist  0.193
iter 1600, dist  0.194
iter 1700, dist  0.196
iter 1800, dist  0.197
iter 1900, dist  0.198
iter 1999, dist  0.198
